1,1.31
2,1.38
3,1.39
4,1.43
7,1.41
8,1.38
9,1.38
10,1.37
11,1.36
14,1.34
15,1.33
16,1.35
17,1.36
18,1.36
21,1.36
22,1.3
23,1.3
24,1.23
28,1.19
29,1.21
30,1.26
31,1.28
32,1.29
35,1.31
36,1.32
37,1.31
38,1.26
39,1.21
42,1.19
43,1.21
44,1.17
45,1.19
46,1.18
49,1.18
50,1.16
51,1.16
52,1.13
53,1.14
56,1.14
57,1.15
58,1.14
59,1.12
60,1.16
64,1.15
65,1.16
66,1.17
67,1.17
71,1.13
72,1.14
73,1.12
74,1.12
77,1.12
78,1.12
79,1.1
80,1.1
81,1.14
84,1.13
85,1.13
86,1.13
87,1.13
88,1.12
91,1.13
92,1.1
93,1.11
94,1.12
95,1.1
98,1.11
99,1.11
100,1.13
101,1.12
102,1.11
105,1.09
106,1.11
107,1.1
108,1.13
109,1.15
112,1.16
113,1.17
114,1.23
115,1.3
116,1.25
119,1.26
120,1.25
121,1.29
122,1.27
123,1.26
126,1.25
127,1.27
128,1.28
129,1.29
130,1.27
133,1.27
134,1.27
135,1.26
136,1.25
137,1.25
140,1.25
141,1.26
142,1.26
143,1.26
144,1.24
147,1.25
148,1.24
149,1.21
150,1.19
151,1.19
154,1.15
155,1.18
156,1.21
157,1.2
158,1.15
161,1.17
162,1.15
163,1.13
164,1.12
165,1.1
168,1.09
169,1.07
170,1.09
171,1.07
172,1.09
175,1.09
176,1.05
177,1.05
178,1.07
179,1.03
182,1.01
183,0.98
184,0.99
185,1.04
186,1.01
189,1.01
190,0.95
191,0.95
192,0.94
193,0.91
196,0.91
197,0.94
198,0.91
199,0.86
200,0.85
203,0.84
204,0.85
205,0.88
206,0.86
207,0.91
211,0.87
212,0.88
213,0.9
214,0.91
217,0.95
218,0.96
219,0.98
220,0.95
221,0.93
224,0.95
225,0.93
226,0.91
227,0.9
228,0.92
231,0.92
232,0.91
233,0.91
234,0.89
235,0.87
238,0.87
239,0.88
240,0.87
241,0.88
242,0.89
245,0.89
246,0.88
247,0.88
248,0.88
249,0.86
252,0.86
253,0.86
254,0.85
255,0.86
256,0.85
259,0.85
260,0.88
261,0.88
262,0.92
263,0.89
266,0.89
267,0.86
268,0.88
273,0.88
274,0.89
275,0.96
280,0.92
281,0.92
282,0.94
283,0.94
284,0.93
287,0.93
288,0.95
289,0.94
290,0.93
291,0.9
294,0.9
295,0.9
296,0.89
297,0.89
298,0.9
